"","formulary_id","formulary_version","contract_year","ndc","tier_level_value","quantity_limit_yn","quantity_limit_amount","quantity_limit_days","prior_authorization_yn","step_therapy_yn","labelname","drugname","_merge"
"152",8057,7,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"153",8446,14,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"154",8461,7,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"155",8200,5,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"156",8358,8,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"157",8362,13,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"158",8049,13,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"159",8487,5,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"160",8041,21,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"161",8224,7,2008,2060440,4,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"162",8348,9,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"163",8521,9,2008,2060440,3,"N","","","Y","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"164",8297,11,2008,2060440,2,"N","","","Y","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"165",8338,9,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"166",8143,5,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"167",8365,8,2008,2060440,3,"N","","","Y","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"168",8364,10,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"169",8525,9,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"170",8418,5,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"171",8273,7,2008,2060440,2,"N","","","Y","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"172",8056,10,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"173",8271,20,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"174",8445,5,2008,2060440,3,"N","","","Y","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"175",8366,8,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"176",8193,6,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"177",8417,8,2008,2060440,3,"N","","","Y","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"178",8189,5,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"179",8321,7,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"180",8474,7,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"181",8348,9,2008,2080303,3,"N","","","Y","Y","DARVON 65 MG PULVULE","DARVON",3
"182",8033,7,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"183",8110,5,2008,2080303,4,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"184",8122,6,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"185",8582,11,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"186",8224,7,2008,2080303,4,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"187",8276,8,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"188",8562,8,2008,2080303,3,"N","","","Y","N","DARVON 65 MG PULVULE","DARVON",3
"189",8010,7,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"190",8495,10,2008,2080303,3,"N","","","Y","N","DARVON 65 MG PULVULE","DARVON",3
"191",8435,8,2008,2080303,2,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"192",8510,8,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"193",8439,6,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"194",8265,8,2008,2080303,3,"N","","","Y","N","DARVON 65 MG PULVULE","DARVON",3
"195",8050,7,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"196",8401,6,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"197",8129,7,2008,2080303,2,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"198",8128,6,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"199",8428,10,2008,2080303,2,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"200",8399,6,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"201",8271,20,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"202",8024,17,2008,2080303,2,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"203",8179,14,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"204",8278,8,2008,2080303,3,"N","","","Y","N","DARVON 65 MG PULVULE","DARVON",3
"205",8223,8,2008,2080303,2,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"206",8449,12,2008,2080303,1,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"207",8153,6,2008,2080303,2,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"208",8388,12,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"209",8123,7,2008,2080303,4,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"210",8270,8,2008,2080303,3,"N","","","Y","N","DARVON 65 MG PULVULE","DARVON",3
"211",8353,16,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"212",8309,18,2008,2080303,5,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"213",8472,10,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"214",8222,7,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"215",8294,12,2008,2080303,2,"N","","","Y","N","DARVON 65 MG PULVULE","DARVON",3
"216",8426,7,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"217",8178,9,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"218",8273,7,2008,2080303,2,"N","","","Y","N","DARVON 65 MG PULVULE","DARVON",3
"219",8444,5,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"220",8200,5,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"221",8086,16,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"222",8032,7,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"223",8080,18,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"224",8255,7,2008,2080303,3,"N","","","Y","N","DARVON 65 MG PULVULE","DARVON",3
"225",8429,13,2008,2080303,2,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"226",8216,22,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"227",8130,6,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"228",8039,11,2008,2080303,4,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"229",8090,8,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"230",8448,8,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"231",8417,8,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"232",8114,11,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"233",8034,7,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"234",8043,20,2008,2080303,1,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"235",8570,21,2008,2080303,2,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"236",8519,8,2008,2080303,3,"N","","","Y","N","DARVON 65 MG PULVULE","DARVON",3
"237",8315,7,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"238",8135,9,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"239",8364,10,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"240",8297,11,2008,2080303,2,"N","","","Y","N","DARVON 65 MG PULVULE","DARVON",3
"241",8445,5,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"242",8056,10,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"243",8053,14,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"244",8494,7,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"245",8040,11,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"246",8502,4,2008,2080303,2,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"247",8269,7,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"248",8363,7,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"249",8190,5,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"250",8432,12,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"251",8433,16,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"252",8263,7,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"253",8362,13,2008,2080303,3,"N","","","N","N","DARVON 65 MG PULVULE","DARVON",3
"254",8421,6,2008,2080303,4,"N","","","Y","N","DARVON 65 MG PULVULE","DARVON",3
"255",8365,8,2008,2080303,3,"N","","","Y","N","DARVON 65 MG PULVULE","DARVON",3
